SERIAL_NO,DEVICE_ID,PRODUCT_FAMILY,MODEL_NAME,PART_NUMBER,DEVICE_CAPACITY,COLOR,PURCHASE_SOURCE,ORDER_NUMBER,DATE_ADDED_TO_ORGANIZATION,DATE_REMOVED_FROM_ORGANIZATION,MDM_SERVER,DATE_ASSIGNED_TO_MDM_SERVER
C02CX3MLMD6R,C02CX3MLMD6R,Mac,"MacBook Pro (16-inch, 2019)",Z0XZ,512GB,SPACE GRAY,Apple (1305171),1011262223,2021-11-18T12:45:18Z,,Kandji,2022-10-13T11:45:22Z
C02D73TKMD6N,C02D73TKMD6N,Mac,"MacBook Pro (16-inch, 2019)",MVVK2LL/A,1TB,SPACE GRAY,Apple (1305171),1012260450,2021-11-18T12:45:19Z,,Kandji,2022-10-13T10:55:41Z
C02F31E4ML7J,C02F31E4ML7J,Mac,"MacBook Pro 13""",MWP52LL/A,1TB,SPACE GRAY,Apple (1305171),1012537702,2021-11-18T12:45:16Z,,Kandji,2022-10-13T13:17:48Z
C02G20RQML7J,C02G20RQML7J,Mac,"MacBook Pro 13""",MWP52LL/A,1TB,SPACE GRAY,Apple (1305171),1014901519,2021-11-18T12:45:18Z,,Kandji,2022-10-13T09:59:53Z
FVFGP009Q05P,FVFGP009Q05P,Mac,"MacBook Pro 13""",Z11C,512GB,SPACE GRAY,Apple (1305171),1015642525,2021-11-18T12:45:15Z,,Kandji,2022-10-14T14:48:27Z
FVFHK1EGQ6LT,FVFHK1EGQ6LT,Mac,MacBook Air,Z125,512GB,SPACE GRAY,Apple (1305171),1016761608,2022-04-15T03:38:12Z,,Kandji,2022-10-13T11:11:24Z
FVFHN2EEQ6LT,FVFHN2EEQ6LT,Mac,MacBook Air,Z125,512GB,SPACE GRAY,Apple (1305171),1016898979,2022-05-09T03:29:16Z,,Kandji,2023-02-28T09:37:33Z
GGY2H4TP9M,GGY2H4TP9M,Mac,"MacBook Pro (16-inch, 2023)",MNW83LL/A,512GB,SPACE GRAY,Apple (1305171),1018434045,2023-01-23T13:11:39Z,,Kandji,2023-01-23T13:11:39Z
GHYC9T00TT,GHYC9T00TT,Mac,"MacBook Pro (14-inch, 2023)",MPHE3LL/A,512GB,SPACE GRAY,Apple (1305171),AAA0596680,2023-09-05T15:14:24Z,,Kandji,2023-09-05T15:14:24Z
HWT929KD9H,HWT929KD9H,Mac,"MacBook Pro (16-inch, 2023)",MNW83LL/A,512GB,SPACE GRAY,Apple (1305171),AAA0370350,2023-07-19T11:17:39Z,,Kandji,2023-07-19T11:17:39Z
HXVYHQ79V9,HXVYHQ79V9,Mac,"MacBook Pro (16-inch, 2023)",MNW83LL/A,512GB,SPACE GRAY,Apple (1305171),AAA0370350,2023-07-19T11:17:40Z,,Kandji,2023-07-19T11:17:40Z
KXCCXDDH4W,KXCCXDDH4W,Mac,"MacBook Pro 14""",Z15G,2TB,SPACE GRAY,Apple (1305171),1015913310,2021-12-27T16:28:16Z,,Kandji,2022-10-13T13:54:40Z
